price,year,manufacturer,model,condition,cylinders,odometer,transmission,drive,type,lat,long
4990,2009.0,11,708,0,2,154345.0,0,1,5,32.236664,-110.866049
4990,2013.0,2,606,0,4,134925.0,0,1,5,32.250378,-110.965517
5495,2005.0,15,267,2,2,123596.0,0,1,5,32.195597,-110.874466
4490,2004.0,10,852,0,2,81423.0,0,1,8,32.236664,-110.866049
5500,1990.0,9,222,2,2,182470.0,1,0,0,32.2208,-110.8235
5500,2007.0,7,753,0,4,185250.0,0,1,3,32.236664,-110.866049
5990,2014.0,8,1084,0,2,156200.0,0,1,2,32.236664,-110.866049
4990,2007.0,15,914,0,4,182002.0,0,1,3,32.236664,-110.866049
3400,2002.0,8,82,0,2,169318.0,0,1,2,32.206221,-110.817354
5995,2007.0,15,187,2,4,161687.0,0,1,5,32.195597,-110.874466
5000,2004.0,7,306,0,2,192411.0,0,0,0,32.6566,-114.4042
5997,2009.0,8,943,3,2,120272.0,0,1,5,32.7093,-114.4905
1499,2015.0,1,1088,0,2,127713.0,0,1,5,32.7093,-114.4905
1499,2017.0,5,491,3,2,131614.0,0,1,5,32.7093,-114.4905
1499,2009.0,5,428,0,4,169105.0,0,2,0,32.7093,-114.4905
5000,2001.0,2,928,2,5,170151.0,0,0,6,33.7852,-117.3166
4997,2008.0,2,248,3,2,160728.0,0,1,1,32.7093,-114.4905
1500,2004.0,8,884,2,4,295000.0,0,1,0,36.062549,-94.164047
5800,2013.0,4,330,2,2,226000.0,1,1,5,36.115066,-94.048911
4995,2001.0,12,1138,2,4,227901.0,1,0,2,36.203482,-94.138862
4800,2002.0,15,912,2,5,267.0,0,0,0,36.530729,-93.909607
4000,2013.0,2,968,2,2,145543.0,1,1,5,36.192874,-95.75898
5100,2002.0,5,829,2,4,211154.0,0,2,6,36.192874,-95.75898
5995,2008.0,10,959,2,4,124191.0,0,1,0,36.1716,-94.0428
5900,2012.0,2,601,2,4,114000.0,0,1,5,37.0969,-94.5051
4900,2008.0,8,943,0,2,1000.0,0,1,5,36.3169,-94.1545
1250,2007.0,3,893,2,2,190000.0,0,1,5,34.7363,-92.2741
2800,1999.0,0,30,2,4,148678.0,0,2,5,34.751,-92.3455
5900,2012.0,7,225,2,2,228000.0,0,1,5,34.6313,-92.4727
